,shot,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
56,1140520016.0,3535.56738281,1.5,4.62001218018e+19,4.64891966029e+18,5.42674922943,0.0117106437683,0.41754571875,0.0413410390625,0.0,0.0,0.0,-0.393038630486,0.187913790345,15.7647681236,8.36684956551,0.0,0.0
57,1140520017.0,3531.31933594,1.5,4.77496899271e+19,4.5587396957e+18,5.42479753494,0.0146379470825,0.41533321875,0.0416603515625,0.0,0.0,0.0,-0.360559910536,0.188833475113,18.3911561966,9.49905152321,0.0,0.0
58,1140520018.0,3446.92504883,1.5,4.6922852785e+19,4.4914236356e+18,5.42577362061,0.0146379470825,0.41596359375,0.04040971875,0.0,0.0,0.0,-0.361540019512,0.168889015913,18.2408733368,6.94325070381,0.0,0.0
59,1140520019.0,3255.69763184,1.5,4.68386543835e+19,6.73894305052e+18,5.42382192612,0.0136623382568,0.419088875,0.0407024765625,0.0,0.0,0.0,-0.385314643383,0.163120061159,16.1841611862,16.1126467466,0.0,0.0
60,1140605004.0,6035.05273438,1.5,3.92555074047e+19,6.22140490645e+18,5.43065214157,0.0136613845825,0.805226,0.02537475,0.0,0.0,0.0,-0.197396561503,0.167735315859,16.4639968872,18.1293399334,0.0,0.0
61,1140605005.0,4603.9362793,1.5,3.32907107001e+19,9.13055511353e+18,5.43358039856,0.011709690094,0.98339775,0.0272454375,0.0,0.0,0.0,-1.72612273693,38.920805037,18.1264829636,6.58117237091,0.0,0.0
62,1140605006.0,13581.21875,1.5,4.03192497202e+19,4.77756603918e+18,5.42479753494,0.0136623382568,0.79861825,0.00972175,0.0,0.0,0.0,-0.154170379043,0.239451356232,13.2016005516,7.33427057266,0.0,0.0
63,1140605007.0,9202.4453125,1.5,4.16870663744e+19,6.99904967845e+18,5.42186927795,0.0136613845825,0.8058276875,0.026299875,0.0,0.0,0.0,-0.212982743979,0.266288146377,18.9204368591,27.7181017876,0.0,0.0
64,1140605008.0,8834.81884766,1.5,4.02442124497e+19,6.90474973384e+18,5.42089366913,0.0136623382568,0.80082971875,0.0294333125,0.0,0.0,0.0,-0.203913331032,0.240552276373,22.0835523605,25.2683279037,0.0,0.0
65,1140605009.0,8286.99023438,1.5,4.14801096988e+19,8.37819031287e+18,5.41894245148,0.012686252594,0.81081853125,0.02913270625,0.0,0.0,0.0,-0.198446825147,0.252856113017,22.6365537643,27.974117136,0.0,0.0
66,1140605010.0,7745.625,1.5,3.83951615462e+19,5.75380009339e+18,5.42186927795,0.0126852989197,0.8098944375,0.0331930625,0.0,0.0,0.0,-0.21934260428,0.254434689879,22.6772518158,23.9629081726,0.0,0.0
67,1140605011.0,8358.77832031,1.5,4.20387693578e+19,9.0772969693e+18,5.4199180603,0.0136623382568,0.8092660625,0.0325668125,0.0,0.0,0.0,-0.214175745845,0.251104108989,24.374704361,25.9751036644,0.0,0.0
68,1140605012.0,12639.1308594,1.5,4.02016261653e+19,8.84282138678e+18,5.41894245148,0.0126867294312,0.80707,0.0325545,0.0,0.0,0.0,-0.180120557547,0.257636126131,24.60542202,30.239428854,0.0,0.0
69,1140605013.0,12867.5332031,1.5,4.11225397213e+19,8.19895749306e+18,5.41601514816,0.0136609077454,0.805168625,0.023790625,0.0,0.0,0.0,-0.183673396707,0.253148969263,21.7522249222,25.893453598,0.0,0.0
70,1140605014.0,12132.3525391,1.5,4.16380721363e+19,5.2040674792e+18,5.41601514816,0.0136609077454,0.8026696875,0.0256674375,0.0,0.0,0.0,-0.184494271874,0.214499067515,20.8021421432,22.0237057686,0.0,0.0
71,1140605015.0,13723.2431641,1.5,3.89042266338e+19,5.39430970894e+18,5.41113567352,0.016589641571,0.79954334375,0.021279478125,0.0,0.0,0.0,-0.167160391808,0.185190487653,19.1815290451,18.4824148655,0.0,0.0
72,1140605016.0,5873.52001953,1.5,4.1331578872e+19,6.31453925878e+18,5.41601514816,0.0126857757568,0.8042496875,0.0231561875,0.0,0.0,0.0,-0.170072227716,0.266110356897,18.9617547989,28.2615840912,0.0,0.0
73,1140605018.0,1097.18658447,1.5,6.95257266224e+19,5.3119824344e+19,5.41894245148,0.0107340812683,1.0040446875,0.0322394125,2.16592299938,2.5141903758,0.898500025272,-1.04243469238,0.537264406681,-10.2769141197,43.8975440025,0.0,0.0
74,1140605019.0,557.025512695,1.48849987984,7.16628561694e+19,4.72634361874e+19,5.4199180603,0.0107350349426,1.00435575,0.027213915625,2.1633439064,2.51949345469,0.887099981308,-0.881034970284,0.587582960725,-6.46455454826,54.682088089,0.0,0.0
75,1140605020.0,184.697219849,1.42849993706,6.31908024181e+19,2.59057051724e+19,5.4199180603,0.0107350349426,1.004032375,0.0325646875,2.02621805668,2.35849110186,0.827099978924,-0.892379522324,0.485708922148,0.929144263268,76.3400253296,0.0,0.0
76,1140605022.0,87.810760498,1.32849991322,5.86806716916e+19,1.82640694527e+19,5.42382192612,0.00975847244263,1.002481,0.03348285625,1.84769374132,1.85169663429,0.727099955082,-0.905746340752,0.534355562925,1.49656605721,89.3787192345,0.0,0.0
77,1140605027.0,91.5351219177,1.5,7.87655957317e+19,4.82813029195e+19,5.4199180603,0.0107350349426,1.197251375,0.04914285625,2.07402789593,2.04213443398,0.898499965668,-0.90422731638,0.659365445375,-2.19147610664,86.8084617615,0.0,0.0
78,1140605029.0,62.5764980316,1.32849991322,7.08750560881e+19,2.58796625798e+19,5.42284536362,0.00683116912842,1.1972575,0.056032925,1.87729072571,2.20083716512,0.726999938488,-0.934521973133,0.485959300399,3.70934987068,148.756103516,0.0,0.0
79,1140605033.0,66.2853546143,0.548499941826,5.00792713924e+19,3.32945227069e+18,5.42577362061,0.00683116912842,0.727550375,0.00969285625,0.0,0.0,0.0,-1.16633760929,0.0574328541756,38.8359107971,31.3149627686,0.0,0.0
