,shot,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
0,1160506001.0,3308.36157227,1.5,5.45959925915e+19,1.2841862165e+19,-5.47554206848,0.0136618614197,-0.79266953125,0.021559184375,0.0,0.0,0.0,1.08865666389,0.270840644836,-4.70125365257,19.9735832691,2.0,0.0126953125
1,1160506002.0,5100.1550293,1.5,6.90231816388e+19,1.81031583449e+19,-5.47066307068,0.012686252594,-1.07901275,0.02017478125,0.0,0.0,0.0,1.31388473511,0.280045866966,19.8393735886,26.4994489908,2.0,0.06494140625
2,1160506003.0,3351.84790039,1.5,7.5678175877e+19,2.30820394655e+19,-5.46871137619,0.0117101669312,-1.0798470625,0.0162102875,0.0,0.0,0.0,1.3627256155,0.327726483345,0.417107388377,26.0595471859,2.0,0.06298828125
3,1160506004.0,2001.9163208,1.5,7.18306966194e+19,3.11653114029e+19,-5.46773529053,0.0156135559082,-0.79025478125,0.014746821875,0.895853817463,0.45305801034,0.798399925232,1.13670778275,0.397633045912,-11.133556366,18.5929066002,2.0,0.25927734375
4,1160506005.0,926.731719971,1.21349990368,4.4624128014e+19,1.98900250488e+19,-5.0285987854,0.0741648674011,-0.7916483125,0.03645304375,0.0,0.0,0.0,-1.84805941582,38.3563362062,-1.92228794098,15.4215825558,1.0,0.06103515625
5,1160506006.0,4903.76977539,1.5,4.49898123873e+19,9.93862282252e+18,-5.46773529053,0.0146374702454,-0.79038253125,0.02054395,0.0,0.0,0.0,0.964313805103,0.329939037561,6.20578527451,14.3289168,0.0,0.0126953125
6,1160506007.0,5135.26391602,1.5,5.21298781703e+19,1.19558521658e+19,-5.46773529053,0.0146379470825,-0.7895496875,0.01943031875,0.0,0.0,0.0,1.00835287571,0.372581362724,-9.15107250214,22.9834733009,0.0,0.154296875
7,1160506008.0,5379.69702148,1.5,4.93469064883e+19,1.22846235148e+19,-5.46578359604,0.0136618614197,-0.78944675,0.019408134375,0.0,0.0,0.0,1.05990982056,0.283832967281,-8.61472511292,23.1996682644,3.0,0.00341796875
8,1160506009.0,4486.37207031,1.5,7.56591499278e+19,2.36787980821e+19,-5.46480798721,0.0136623382568,-1.07851,0.016848775,0.0,0.0,0.0,1.26712751389,0.337042450905,-2.89535164833,31.0294992447,0.0,0.14794921875
9,1160506010.0,4273.2800293,1.5,7.75902837723e+19,2.26346510429e+19,-5.46578359604,0.0117106437683,-1.07859975,0.01902719375,0.0,0.0,0.0,1.24837970734,0.375630378723,-1.79304730892,31.7811755657,3.0,0.0458984375
10,1160506011.0,5124.36157227,1.5,7.98515129977e+19,1.50208971788e+19,-5.47359037399,0.0117101669312,-1.077776,0.02087166875,0.0,0.0,0.0,1.21291196346,0.378285109997,-5.73112559319,11.6798814684,4.0,0.03564453125
11,1160506012.0,4891.41333008,1.5,8.01035606452e+19,1.1867334223e+19,-5.46968698502,0.0107340812683,-1.077283625,0.021558725,0.0,0.0,0.0,1.230858922,0.354957342148,-8.40749502182,9.26272757053,4.0,2.77197265625
12,1160506013.0,4970.67553711,1.5,5.03633236243e+19,1.47285148268e+19,-5.4667596817,0.0146379470825,-0.78942771875,0.021889815625,0.0,0.0,0.0,1.08784258366,0.329078555107,2.22622346878,20.8602368116,4.0,0.03515625
13,1160506014.0,3571.35021973,1.5,5.98415382672e+19,5.07598470997e+18,-5.4667596817,0.0146379470825,-0.79156378125,0.0205204,0.549995034933,0.637813940644,0.597499966621,1.03489148617,0.325469851494,-12.8743896484,18.1814524889,4.0,-0.01806640625
14,1160506015.0,3435.0748291,1.5,5.79344023635e+19,7.42322565139e+18,-5.46285629272,0.0146379470825,-0.791975125,0.020409203125,0.699370086193,0.910411480814,0.99749994278,0.99933218956,0.333620548248,-8.6915769577,44.5286783218,4.0,-0.00244140625
15,1160506016.0,3910.82739258,0.603499948978,5.9275485492e+19,3.9450226516e+18,-5.46968698502,0.00487899780273,-0.7999976875,0.02882945,0.700664073229,0.344904401898,0.101700007915,0.947414547205,0.166891589761,-10.727763176,11.8851772547,0.0,3.99609375
