shot,reversals,low_confidence,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
1160617020,,,6076.73193359,1.5,3.60846104282E+019,1.85582796327E+019,-5.4140625,0.0117101669,-0.787415875,0.0354733656,0,0,0,-1.6633987427,38.8184850216,-1.9704626799,15.6933832765,1,0.0170898438
1160617017,1.2417d,,1833.6305542,1.5,6.52175322015E+019,1.27239670307E+019,-5.4111356735,0.0136618614,-0.992562,0.0406845406,3.4279018641,1.1310949326,0.6985000372,1.2791376114,0.3063012958,38.8644256592,63.1392885208,1,0.0146484375
1160617013,,,1674.31982422,1.5,6.08769307749E+019,9.23121177466E+018,-5.4111356735,0.0165891647,-0.9887393125,0.0272554125,2.9280724526,0.1854366779,0.9983999729,1.300224781,0.3492692709,37.1234111786,41.4759493619,1,0.0620117188
1160617012,,,2061.32885742,1.5,6.50866859198E+019,1.0034298586E+019,-5.4082083702,0.0126852989,-0.9902515938,0.0356924,2.9351079464,1.0632419109,0.9983999729,1.2677007914,0.3689187169,42.5183868408,38.9191892862,1,0.1689453125
1160617011,,,1872.02386475,1.5,6.37790037555E+019,8.07298468665E+018,-5.409183979,0.0165891647,-0.988490125,0.0259445625,2.4703233242,0.1438952446,0.9983999729,1.2947282791,0.3771743178,39.4010314941,56.3680360794,0,0.0170898438
1160617010,,,1742.61767578,1.5,6.22507265734E+019,4.96223759325E+018,-5.4111356735,0.0146379471,-0.9881345313,0.0236320188,1.9565393925,0.1078276634,0.9984999895,1.2914143801,0.4054410458,34.7655391693,46.3215388298,0,0.0180664063
1160617009,,,824.158294678,1.5,5.78321609763E+019,3.89348898141E+018,-5.4130868912,0.0117101669,-0.9861371875,0.0192406844,1.4537817836,0.0959917605,0.9984999895,1.2491639853,0.3895857334,27.9571666718,30.5883908272,0,0.0180664063
1160617007,,,681.710571289,1.5,6.19746897812E+019,6.99249043189E+018,-5.4082083702,0.0126852989,-0.9892699688,0.0199842313,1.4553897381,0.0973508596,0.9983999729,1.3229744434,0.3469957113,40.224445343,38.9256446838,0,0.0185546875
1160617006,,,455.275222778,1.5,6.33589419352E+019,6.9481904487E+018,-5.4101595879,0.0117096901,-0.9889265,0.0206336469,1.4595012665,0.0939261019,0.9984999895,1.3035216332,0.36571455,40.9732570648,49.3705084324,0,0.0234375
1160617005,,,353.770202637,1.5,6.42509383354E+019,5.44669539069E+018,-5.4111356735,0.0107345581,-0.989693,0.0196548906,1.4513174295,0.0946031809,0.9983999729,1.2822434902,0.3338992,40.7932815552,33.5977060318,0,0.0258789063
1160617004,,,102.916210175,1.5,6.91886427456E+019,6.2374089579E+018,-5.4121112824,0.0126867294,-0.9912995625,0.0219802594,1.4490253925,0.0960365057,0.9983999729,1.2864764929,0.3242326975,43.7637405396,79.5811230004,0,0.0283203125
1160512032,,H-mode,7637.94848633,1.5,7.0389010376E+019,9.93155538168E+018,-5.3701500893,0.0146379471,-1.0838743125,0.0161332688,1.6466476321,1.4462236464,0.5986999869,1.2763487101,0.1337895989,13.6655740738,59.5820122242,0,0.0434570313
1160512031,,H-mode,4674.28930664,1.5,6.61641413443E+019,1.05458498893E+019,-5.3711256981,0.0097589493,-0.8008062188,0.0247893688,1.6238046289,1.3656090021,0.5986999869,0.9716106653,0.1356484294,24.9840154648,69.4432029724,0,0.0009765625
1160512030,,H-mode,4934.53295898,1.3684998751,7.03861956262E+019,6.35552641344E+018,-5.3740530014,0.0126862526,-0.8011733125,0.0174416656,1.5927447081,1.2931430578,0.8671000004,1.0415477753,0.1038914472,24.6949510574,48.8845088243,1,0.0415039063
1160512029,,H-mode,3960.4967041,1.5,6.56195620312E+019,7.57875640899E+018,-5.3721013069,0.0156135559,-0.55808,0.032628425,1.6040703058,1.2755383134,0.9986000061,0.7882140279,0.3368589282,-19.9199333191,37.8269726992,1,0.0014648438
1160512028,,H-mode,4087.54455566,1.5,6.35601085826E+019,6.06228820163E+018,-5.3750286102,0.0156140327,-0.5582614063,0.031504475,1.587249279,1.3852303386,0.9986000061,0.806189537,0.3141005039,-18.5071792603,35.4761955261,0,-0.0102539063
